user_id,rank,movie_id,title,predicted_score
196,1,483,Casablanca (1942),4.329448223114014
196,2,114,Wallace & Gromit: The Best of Aardman Animation (1996),4.32087516784668
196,3,64,"Shawshank Redemption, The (1994)",4.310065269470215
196,4,408,"Close Shave, A (1995)",4.300786972045898
196,5,480,North by Northwest (1959),4.261386394500732
196,6,318,Schindler's List (1993),4.255898475646973
196,7,127,"Godfather, The (1972)",4.255021572113037
196,8,657,"Manchurian Candidate, The (1962)",4.222129821777344
196,9,515,"Boot, Das (1981)",4.2181501388549805
196,10,656,M (1931),4.212228775024414
186,1,174,Raiders of the Lost Ark (1981),4.60788631439209
186,2,1449,Pather Panchali (1955),4.5778117179870605
186,3,483,Casablanca (1942),4.573321342468262
186,4,114,Wallace & Gromit: The Best of Aardman Animation (1996),4.564942359924316
186,5,318,Schindler's List (1993),4.561663627624512
186,6,64,"Shawshank Redemption, The (1994)",4.561093330383301
186,7,480,North by Northwest (1959),4.552599906921387
186,8,187,"Godfather: Part II, The (1974)",4.551036834716797
186,9,50,Star Wars (1977),4.522791862487793
186,10,178,12 Angry Men (1957),4.509903430938721
22,1,64,"Shawshank Redemption, The (1994)",4.50567626953125
22,2,114,Wallace & Gromit: The Best of Aardman Animation (1996),4.480784893035889
22,3,318,Schindler's List (1993),4.478110313415527
22,4,1449,Pather Panchali (1955),4.4766621589660645
22,5,1500,Santa with Muscles (1996),4.463509559631348
22,6,12,"Usual Suspects, The (1995)",4.457744121551514
22,7,408,"Close Shave, A (1995)",4.452754020690918
22,8,603,Rear Window (1954),4.4436116218566895
22,9,480,North by Northwest (1959),4.434298038482666
22,10,483,Casablanca (1942),4.432701110839844
244,1,480,North by Northwest (1959),4.357220649719238
244,2,483,Casablanca (1942),4.3278889656066895
244,3,656,M (1931),4.318539142608643
244,4,657,"Manchurian Candidate, The (1962)",4.309247970581055
244,5,513,"Third Man, The (1949)",4.304717540740967
244,6,1500,Santa with Muscles (1996),4.29167366027832
244,7,408,"Close Shave, A (1995)",4.291346549987793
244,8,313,Titanic (1997),4.263871192932129
244,9,479,Vertigo (1958),4.260933876037598
244,10,178,12 Angry Men (1957),4.255524635314941
166,1,174,Raiders of the Lost Ark (1981),4.68997049331665
166,2,318,Schindler's List (1993),4.675227642059326
166,3,50,Star Wars (1977),4.656502723693848
166,4,187,"Godfather: Part II, The (1974)",4.655996322631836
166,5,64,"Shawshank Redemption, The (1994)",4.650029182434082
166,6,1449,Pather Panchali (1955),4.64504861831665
166,7,114,Wallace & Gromit: The Best of Aardman Animation (1996),4.637921333312988
166,8,1500,Santa with Muscles (1996),4.607298374176025
166,9,483,Casablanca (1942),4.606739044189453
166,10,408,"Close Shave, A (1995)",4.6061577796936035
